,Country,Disaster Type,Number of Disasters
156,Pakistan,Glacial lake outburst flood,0
157,Russian Federation,Glacial lake outburst flood,0
158,Democratic Republic of the Congo,Glacial lake outburst flood,0
159,Bangladesh,Glacial lake outburst flood,0
160,China,Impact,0
161,India,Impact,0
162,United States of America,Impact,0
163,Indonesia,Impact,0
164,Philippines,Impact,0
165,Nigeria,Impact,0
166,Pakistan,Impact,0
167,Russian Federation,Impact,1
168,Democratic Republic of the Congo,Impact,0
169,Bangladesh,Impact,0
170,China,Industrial accident (General),66
171,India,Industrial accident (General),4
172,United States of America,Industrial accident (General),0
173,Indonesia,Industrial accident (General),2
174,Philippines,Industrial accident (General),0
175,Nigeria,Industrial accident (General),1
176,Pakistan,Industrial accident (General),0
177,Russian Federation,Industrial accident (General),1
178,Democratic Republic of the Congo,Industrial accident (General),1
179,Bangladesh,Industrial accident (General),0
180,China,Infestation,1
181,India,Infestation,0
182,United States of America,Infestation,0
183,Indonesia,Infestation,0
184,Philippines,Infestation,0
185,Nigeria,Infestation,1
186,Pakistan,Infestation,1
187,Russian Federation,Infestation,1
188,Democratic Republic of the Congo,Infestation,0
189,Bangladesh,Infestation,0
190,China,Mass movement (dry),3
191,India,Mass movement (dry),1
192,United States of America,Mass movement (dry),0
193,Indonesia,Mass movement (dry),0
194,Philippines,Mass movement (dry),1
195,Nigeria,Mass movement (dry),0
196,Pakistan,Mass movement (dry),1
197,Russian Federation,Mass movement (dry),0
198,Democratic Republic of the Congo,Mass movement (dry),0
199,Bangladesh,Mass movement (dry),0
200,China,Mass movement (wet),58
201,India,Mass movement (wet),28
202,United States of America,Mass movement (wet),3
203,Indonesia,Mass movement (wet),56
204,Philippines,Mass movement (wet),17
205,Nigeria,Mass movement (wet),2
206,Pakistan,Mass movement (wet),15
207,Russian Federation,Mass movement (wet),5
208,Democratic Republic of the Congo,Mass movement (wet),11
209,Bangladesh,Mass movement (wet),6
210,China,Miscellaneous accident (General),11
211,India,Miscellaneous accident (General),30
212,United States of America,Miscellaneous accident (General),3
213,Indonesia,Miscellaneous accident (General),7
214,Philippines,Miscellaneous accident (General),3
215,Nigeria,Miscellaneous accident (General),3
216,Pakistan,Miscellaneous accident (General),10
217,Russian Federation,Miscellaneous accident (General),8
218,Democratic Republic of the Congo,Miscellaneous accident (General),5
219,Bangladesh,Miscellaneous accident (General),4
220,China,Oil spill,0
221,India,Oil spill,0
222,United States of America,Oil spill,1
223,Indonesia,Oil spill,0
224,Philippines,Oil spill,1
225,Nigeria,Oil spill,0
226,Pakistan,Oil spill,0
227,Russian Federation,Oil spill,0
228,Democratic Republic of the Congo,Oil spill,0
229,Bangladesh,Oil spill,0
230,China,Poisoning,6
231,India,Poisoning,1
232,United States of America,Poisoning,0
233,Indonesia,Poisoning,1
234,Philippines,Poisoning,0
235,Nigeria,Poisoning,1
236,Pakistan,Poisoning,1
237,Russian Federation,Poisoning,0
238,Democratic Republic of the Congo,Poisoning,0
239,Bangladesh,Poisoning,1
240,China,Radiation,2
241,India,Radiation,0
242,United States of America,Radiation,0
243,Indonesia,Radiation,0
244,Philippines,Radiation,0
245,Nigeria,Radiation,0
246,Pakistan,Radiation,0
247,Russian Federation,Radiation,0
248,Democratic Republic of the Congo,Radiation,0
249,Bangladesh,Radiation,0
250,China,Rail,7
251,India,Rail,55
252,United States of America,Rail,12
253,Indonesia,Rail,13
254,Philippines,Rail,1
255,Nigeria,Rail,1
256,Pakistan,Rail,14
257,Russian Federation,Rail,4
258,Democratic Republic of the Congo,Rail,13
259,Bangladesh,Rail,5
260,China,Road,107
261,India,Road,140
262,United States of America,Road,13
263,Indonesia,Road,26
264,Philippines,Road,19
265,Nigeria,Road,196
266,Pakistan,Road,70
267,Russian Federation,Road,30
268,Democratic Republic of the Congo,Road,33
269,Bangladesh,Road,14
270,China,Storm,207
271,India,Storm,100
272,United States of America,Storm,358
273,Indonesia,Storm,8
274,Philippines,Storm,187
275,Nigeria,Storm,6
276,Pakistan,Storm,18
277,Russian Federation,Storm,18
278,Democratic Republic of the Congo,Storm,6
279,Bangladesh,Storm,69
280,China,Volcanic activity,0
281,India,Volcanic activity,0
282,United States of America,Volcanic activity,1
283,Indonesia,Volcanic activity,29
284,Philippines,Volcanic activity,15
